consult,llm,asr,env,snr,n_om,n_com,N1,N2,N3,N4,S,tot
day2_consultation06,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_maternity_ward,-2,4,4,0,0,6,2,14,8
day1_consultation01,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,outdoor_traffic,-2,4,5,0,1,4,4,15,9
day2_consultation06,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,outdoor_traffic,-2,3,0,0,0,1,2,4,3
day2_consultation10,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_corridor,-2,4,6,0,0,7,3,17,10
day3_consultation04,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_corridor,-2,0,0,0,0,0,0,0,0
day2_consultation07,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,outdoor_traffic,-2,7,2,0,0,5,4,14,9
day1_consultation07,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_reception,-2,4,7,0,3,5,3,22,11
day3_consultation01,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_maternity_ward,-2,6,6,0,3,8,1,26,12
day1_consultation02,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_reception,-2,6,2,0,0,7,1,15,8
day1_consultation07,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_maternity_ward,-2,3,2,0,0,2,3,7,5
day3_consultation04,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,outdoor_traffic,-2,5,1,0,0,3,3,9,6
day1_consultation15,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,outdoor_traffic,-2,2,6,0,1,5,2,15,8
day2_consultation10,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_maternity_ward,-2,8,3,0,0,8,3,19,11
day1_consultation07,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_corridor,-2,2,5,0,2,4,1,15,7
day1_consultation05,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,outdoor_traffic,-2,2,5,0,0,1,6,8,7
day2_consultation10,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_reception,-2,0,4,0,0,4,0,8,4
day1_consultation01,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_reception,-2,5,1,0,0,5,1,11,6
day2_consultation06,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_corridor,-2,4,6,0,1,7,2,19,10
day3_consultation04,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,hospital_reception,-2,7,2,0,2,4,3,17,9
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,3,1,0,0,3,1,7,4
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,0,0,0,0,0,0,0,0
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,1,0,0,0,1,0,2,1
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,2,5,0,1,3,3,12,7
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,1,5,0,1,0,5,8,6
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,1,0,1,0,0,0,4,1
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,2,1,0,1,2,0,7,3
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,2,4,0,2,3,1,13,6
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,0,6,0,1,4,1,12,6
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,4,3,0,1,4,2,13,7
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,3,3,0,3,3,0,15,6
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,3,6,0,2,5,2,18,9
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,3,0,0,0,2,1,5,3
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,6,1,0,1,3,3,12,7
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,6,2,0,0,4,4,12,8
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,3,1,0,1,2,1,8,4
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,2,4,0,0,2,4,8,6
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,3,1,0,0,4,0,8,4
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,8,0,0,1,3,4,13,8
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,1,3,0,0,2,2,6,4
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,5,4,0,3,5,1,20,9
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,2,0,0,0,1,1,3,2
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,4,1,0,0,3,2,8,5
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,2,3,0,1,1,3,8,5
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,4,1,0,1,2,2,9,5
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,1,0,0,0,0,1,1,1
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,3,3,0,1,3,2,11,6
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,2,2,0,1,3,0,9,4
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,3,5,0,3,4,1,18,8
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,3,3,0,0,4,2,10,6
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,3,1,0,0,3,1,7,4
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,0,4,0,0,2,2,6,4
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,2,0,0,0,0,2,2,2
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,1,1,0,0,1,1,3,2
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,3,0,0,0,2,1,5,3
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,8,1,1,0,0,1,1,3,2
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,3,1,0,1,0,3,6,4
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,4,3,0,2,2,3,13,7
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,5,2,0,0,5,2,12,7
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,4,3,0,0,5,2,12,7
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,8,7,1,0,2,4,2,16,8
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,4,1,0,0,4,1,9,5
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,8,7,2,0,0,8,1,17,9
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,8,2,3,0,1,2,2,9,5
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,4,1,0,0,1,4,6,5
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,2,1,0,1,1,1,6,3
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,1,3,0,1,2,1,8,4
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,1,6,0,1,4,2,13,7
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,2,5,0,1,1,5,10,7
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,3,1,0,0,2,2,6,4
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,7,1,0,2,3,3,15,8
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,2,2,0,0,3,1,7,4
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,6,5,0,1,6,4,19,11
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,2,1,0,0,2,1,5,3
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,4,2,0,1,4,1,12,6
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,4,3,0,1,3,3,12,7
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,3,2,0,1,3,1,10,5
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,3,0,0,0,2,1,5,3
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,1,0,0,0,1,0,2,1
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,4,0,0,0,2,2,6,4
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,2,5,0,3,2,2,15,7
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,1,2,0,0,2,1,5,3
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,1,0,0,0,0,1,1,1
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,6,0,0,0,5,1,11,6
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,4,2,0,1,2,3,10,6
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,4,4,0,1,3,4,13,8
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,1,0,0,0,0,1,1,1
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,1,0,0,0,0,1,1,1
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,4,2,0,0,4,2,10,6
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,3,2,0,1,3,1,10,5
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,1,1,0,0,2,0,4,2
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,6,2,0,0,6,2,14,8
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,3,2,0,2,2,1,11,5
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,2,3,0,1,3,1,10,5
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,0,0,0,0,0,0,0,0
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,4,4,0,1,5,2,15,8
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,2,0,0,0,1,1,3,2
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,1,1,0,0,2,0,4,2
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,4,0,0,0,3,1,7,4
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,4,0,0,0,1,3,5,4
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,5,1,0,0,6,0,12,6
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,4,1,0,2,1,2,10,5
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,13,3,3,0,1,4,1,12,6
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,0,2,0,0,1,1,3,2
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,13,4,0,0,0,4,0,8,4
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,0,0,0,0,0,0,0,0
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,13,3,1,0,0,2,2,6,4
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,13,3,8,0,1,9,1,22,11
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,5,3,0,1,1,6,11,8
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,5,3,0,2,3,3,15,8
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,0,4,0,0,3,1,7,4
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,2,5,0,0,4,3,11,7
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,5,0,0,1,3,1,10,5
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,3,9,0,3,5,4,23,12
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,6,1,0,0,5,2,12,7
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,3,3,0,0,3,3,9,6
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,3,3,0,0,3,3,9,6
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,6,1,0,3,2,2,15,7
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,9,4,0,0,10,3,23,13
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,1,1,0,0,1,1,3,2
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,5,0,0,0,2,3,7,5
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,1,3,0,0,4,0,8,4
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,3,3,0,2,2,2,12,6
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,6,5,0,0,9,2,20,11
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,6,2,0,0,5,3,13,8
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,8,2,0,0,10,0,20,10
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,8,1,0,2,6,1,19,9
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,11,5,0,2,8,6,28,16
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,6,5,0,1,8,2,21,11
day2_consultation10,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,6,1,0,1,4,2,13,7
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,1,2,0,0,3,0,6,3
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,3,1,1,1,1,1,10,4
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,5,3,0,3,3,2,17,8
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,3,4,0,2,3,2,14,7
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,2,0,0,0,2,0,4,2
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,5,1,0,0,5,1,11,6
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,4,1,0,2,3,0,12,5
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,3,3,0,2,2,2,12,6
day3_consultation04,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,9,1,0,2,7,1,21,10
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,2,5,0,2,4,1,15,7
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,2,2,0,0,2,2,6,4
day3_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,2,5,0,1,2,4,11,7
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_reception,-2,7,2,0,0,7,2,16,9
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,9,2,0,0,6,5,17,11
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,5,1,0,1,4,1,12,6
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,4,8,0,3,8,1,26,12
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,4,3,0,0,5,2,12,7
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,3,2,0,3,2,0,13,5
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,4,3,0,3,3,1,16,7
day1_consultation15,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_corridor,-2,5,0,0,1,3,1,10,5
day2_consultation06,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,hospital_maternity_ward,-2,1,2,0,1,1,1,6,3
day1_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,outdoor_traffic,-2,4,1,0,1,1,3,8,5
day1_consultation05,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,1,4,0,3,1,1,12,5
day3_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,0,6,0,2,3,1,13,6
day1_consultation02,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,6,0,0,0,4,2,10,6
day3_consultation04,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,5,1,0,0,3,3,9,6
day1_consultation15,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,2,0,0,0,1,1,3,2
day1_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,3,0,0,1,1,1,6,3
day1_consultation05,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,3,1,0,1,1,2,7,4
day2_consultation10,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,1,0,0,0,1,0,2,1
day1_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,3,1,0,0,1,3,5,4
day3_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,5,2,0,1,4,2,13,7
day1_consultation02,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,5,0,0,2,3,0,12,5
day3_consultation04,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,2,2,0,0,3,1,7,4
day3_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,2,6,0,2,4,2,16,8
day2_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,7,5,0,0,7,5,19,12
day2_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,1,2,0,0,2,1,5,3
day3_consultation04,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,1,2,0,0,2,1,5,3
day3_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,2,3,0,0,4,1,9,5
day3_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,0,4,0,0,2,2,6,4
day1_consultation02,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,4,2,0,0,3,3,9,6
day1_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,1,2,0,1,0,2,5,3
day1_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,3,2,0,1,3,1,10,5
day2_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,5,5,0,1,4,5,16,10
day2_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,5,1,0,0,6,0,12,6
day2_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,7,4,0,1,6,4,19,11
day1_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,3,2,0,1,3,1,10,5
day1_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,3,1,0,1,2,1,8,4
day2_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,3,0,0,0,2,1,5,3
day1_consultation15,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,2,2,0,0,2,2,6,4
day2_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,3,0,0,0,1,2,4,3
day3_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,4,1,0,1,4,0,11,5
day1_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,2,1,0,1,1,1,6,3
day2_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,8,1,0,2,4,3,17,9
day2_consultation10,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,1,0,0,0,0,1,1,1
day1_consultation05,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,2,0,0,1,1,0,5,2
day3_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,0,2,0,0,0,2,2,2
day1_consultation15,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,4,1,0,0,3,2,8,5
day1_consultation05,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,2,5,0,0,3,4,10,7
day1_consultation02,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,8,5,0,0,0,3,2,8,5
day3_consultation04,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,4,0,0,0,3,1,7,4
day2_consultation10,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,2,2,0,1,1,2,7,4
day1_consultation15,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,8,2,1,0,0,1,2,4,3
day1_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,2,0,0,1,1,0,5,2
day3_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,8,0,1,0,0,0,1,1,1
day2_consultation10,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,8,2,1,0,1,1,1,6,3
day1_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,13,1,3,0,0,0,4,4,4
day2_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,13,2,0,0,0,0,2,2,2
day3_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,13,2,6,0,1,3,4,13,8
day1_consultation02,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,13,5,1,0,0,5,1,11,6
day2_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,13,5,1,0,0,4,2,10,6
day2_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,13,2,4,0,1,4,1,12,6
day1_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_maternity_ward,13,2,2,0,1,2,1,8,4
day1_consultation15,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,13,4,2,0,0,4,2,10,6
day1_consultation02,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,13,3,3,0,1,2,3,10,6
day1_consultation05,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,13,4,3,0,1,4,2,13,7
day2_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_corridor,13,5,4,0,1,7,1,18,9
day2_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,outdoor_traffic,13,6,1,0,0,7,0,14,7
day3_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,hospital_reception,13,0,3,0,2,1,0,8,3
